time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-02T08:53:50.071Z,23.549,142.425,10.0,4.4,mb,17.0,179.0,9.804,0.81,us,us7000j445,2023-03-11T22:51:47.040Z,"Volcano Islands, Japan region",10.93,1.969,0.203,7.0
2023-01-02T08:59:01.467Z,31.677,-104.414,7.005639647999999,2.8,ml,28.0,69.0,0.02647706707,0.2,tx,tx2023acnh,2023-03-11T22:51:32.040Z,"55 km S of Whites City, New Mexico",0.9835508508,1.113905577,0.1,28.0
2023-01-02T08:59:40.417Z,-6.742,144.644,40.72,4.9,mb,71.0,44.0,3.634,0.67,us,us7000j1kp,2023-03-11T22:51:32.040Z,"New Guinea, Papua New Guinea",4.5,6.683,0.08,49.0
2023-01-02T08:59:42.100Z,40.522,-124.394,18.54,2.54,md,27.0,223.0,0.06319,0.09,nc,nc73827871,2023-03-11T22:51:27.040Z,"12km WSW of Ferndale, CA",0.34,0.23,0.128,35.0
2023-01-02T09:01:07.729Z,51.374,-177.885,33.434,3.4,ml,12.0,232.0,0.382,0.17,us,us7000j5eb,2023-03-11T22:51:52.040Z,"102 km WSW of Adak, Alaska",2.41,10.056,0.128,8.0
2023-01-02T09:06:44.837Z,31.687,-104.413,6.080151367,3.2,ml,30.0,67.0,0.03489676082,0.2,tx,tx2023acno,2023-03-11T22:51:32.040Z,"54 km S of Whites City, New Mexico",0.7667790037,0.7634448844,0.1,24.0
2023-01-02T09:15:08.050Z,18.983,-67.189,16.43,3.3,md,22.0,275.0,0.5158,0.28,pr,pr71390418,2023-01-02T10:27:09.560Z,,0.83,1.12,0.0542156691703783,9.0
2023-01-02T09:57:49.954Z,16.096,-95.575,41.488,4.1,mb,63.0,99.0,0.607,1.08,us,us7000j1ky,2023-03-11T22:51:32.040Z,"12 km NE of San Pedro Huamelula, Mexico",4.25,7.828,0.069,57.0
2023-01-02T10:13:23.008Z,54.615,-162.604,15.457,2.5,ml,14.0,205.0,0.392,0.36,us,us7000j5ed,2023-03-11T22:51:52.040Z,"52 km SSW of King Cove, Alaska",2.54,9.102,0.148,6.0
2023-01-02T10:36:41.974Z,60.261,-153.429,159.2,2.7,ml,,,,0.58,ak,ak0233h8ty7,2023-03-11T22:51:32.040Z,"49 km E of Port Alsworth, Alaska",,0.3,,
2023-01-02T10:39:59.466Z,5.469,97.118,10.0,5.0,mb,56.0,35.0,0.293,0.87,us,us7000j1l9,2023-03-11T22:51:32.040Z,"32 km N of Lhokseumawe, Indonesia",5.16,1.748,0.107,28.0
